filename,number_transits,scorer,half,experiment,fishID,largeMalePosition,prePost,center,left screen,left side,plant,right screen,right side
mc_pre_fid20_p3_PATIL_largeMale_left_daniela_LS.csv,54,PATIL,p3,mc,fid20,left,pre,4.923000000000002,179.57099999999997,79.25400000000006,5.454999999999927,22.156000000000006,8.210000000000008
mc_pre_fid20_p3_PHILLIPS_largeMale_left_daniela_LS.csv,56,PHILLIPS,p3,mc,fid20,left,pre,6.346000000000004,182.85200000000003,74.62499999999997,6.003999999999991,23.090000000000003,6.939999999999998
mc_pre_fid20_p3_RAVIPATI_largeMale_left_daniela_LS.csv,51,RAVIPATI,p3,mc,fid20,left,pre,3.235000000000042,185.48300000000003,74.00199999999992,6.639000000000038,22.95799999999997,7.2050000000000125
mc_pre_fid21_p1_NGUYEN_largeMale_none_adele_LS.csv,1,NGUYEN,p1,mc,fid21,none,pre,0,0,0,302.134,0,0
mc_pre_fid21_p1_PATIL_largeMale_none_adele_LS.csv,1,PATIL,p1,mc,fid21,none,pre,0,0,0,299.977,0,0
mc_pre_fid21_p1_PHILLIPS_largeMale_none_adele_LS.csv,1,PHILLIPS,p1,mc,fid21,none,pre,0,0,0,299.786,0,0
mc_pre_fid21_p2_NGUYEN_largeMale_left_adele_LS.csv,1,NGUYEN,p2,mc,fid21,left,pre,0,0,0,294.27299999999997,0,0
mc_pre_fid21_p2_PATIL_largeMale_left_adele_LS.csv,1,PATIL,p2,mc,fid21,left,pre,0,0,0,299.997,0,0
mc_pre_fid21_p2_PHILLIPS_largeMale_left_adele_LS.csv,1,PHILLIPS,p2,mc,fid21,left,pre,0,0,0,300.20399999999995,0,0
mc_pre_fid21_p3_NGUYEN_largeMale_right_adele_LS.csv,1,NGUYEN,p3,mc,fid21,right,pre,0,0,0,298.601,0,0
mc_pre_fid21_p3_PATIL_largeMale_right_adele_LS.csv,1,PATIL,p3,mc,fid21,right,pre,0,0,0,299.977,0,0
mc_pre_fid21_p3_PHILLIPS_largeMale_right_adele_LS.csv,1,PHILLIPS,p3,mc,fid21,right,pre,0,0,0,298.977,0,0
mc_pre_fid22_p1_NGUYEN_largeMale_none_bernadette_FF.csv,68,NGUYEN,p1,mc,fid22,none,pre,12.660000000000004,10.708000000000002,12.291999999999998,12.295999999999998,221.44100000000006,30.20299999999996
mc_pre_fid22_p1_PATIL_largeMale_none_bernadette_FF.csv,55,PATIL,p1,mc,fid22,none,pre,8.181000000000004,10.144000000000002,12.806999999999999,16.551000000000002,223.71800000000005,28.63399999999995
mc_pre_fid22_p1_PHILLIPS_largeMale_none_bernadette_FF.csv,55,PHILLIPS,p1,mc,fid22,none,pre,10.407999999999989,11.749000000000006,10.942999999999998,14.947000000000005,228.004,23.761000000000006
mc_pre_fid22_p1_RAVIPATI_largeMale_none_bernadette_FF.csv,54,RAVIPATI,p1,mc,fid22,none,pre,8.273999999999997,9.876000000000008,12.946999999999996,16.418,224.31799999999996,26.988000000000024
mc_pre_fid22_p2_NGUYEN_largeMale_right_bernadette_FF.csv,53,NGUYEN,p2,mc,fid22,right,pre,0,0,0,0,274.55300000000005,24.445999999999984
mc_pre_fid22_p2_PATIL_largeMale_right_bernadette_FF.csv,51,PATIL,p2,mc,fid22,right,pre,0,0,0,0,277.72299999999996,22.254000000000026
mc_pre_fid22_p2_PHILLIPS_largeMale_right_bernadette_FF.csv,41,PHILLIPS,p2,mc,fid22,right,pre,0,0,0,0,280.00699999999995,19.797000000000043
mc_pre_fid22_p2_RAVIPATI_largeMale_right_bernadette_FF.csv,49,RAVIPATI,p2,mc,fid22,right,pre,0,0,0,0,277.62199999999996,17.879000000000055
mc_pre_fid22_p3_NGUYEN_largeMale_left_bernadette_FF.csv,41,NGUYEN,p3,mc,fid22,left,pre,3,4.745999999999995,2.754000000000005,3.75,258.29600000000005,26.35299999999998
mc_pre_fid22_p3_PATIL_largeMale_left_bernadette_FF.csv,29,PATIL,p3,mc,fid22,left,pre,1.5999999999999943,5.606999999999999,2.4009999999999962,4.805000000000007,262.174,23.39000000000003
mc_pre_fid22_p3_PHILLIPS_largeMale_left_bernadette_FF.csv,27,PHILLIPS,p3,mc,fid22,left,pre,3.194999999999993,5.337000000000003,2.408999999999992,3.4720000000000084,262.77700000000004,22.69099999999996
mc_pre_fid22_p3_RAVIPATI_largeMale_left_bernadette_FF.csv,27,RAVIPATI,p3,mc,fid22,left,pre,1.3329999999999984,5.875,2.403000000000006,4.802999999999997,262.04200000000003,22.417999999999978
mc_pre_fid23_p1_NGUYEN_largeMale_none_bess_LL.csv,65,NGUYEN,p1,mc,fid23,none,pre,11.617999999999952,126.23699999999997,46.36400000000005,34.56399999999999,50.398999999999944,29.172000000000082
mc_pre_fid23_p1_PATIL_largeMale_none_bess_LL.csv,62,PATIL,p1,mc,fid23,none,pre,6.613000000000001,126.89800000000001,47.24199999999996,52.96000000000002,49.68199999999999,16.582000000000022
mc_pre_fid23_p1_PHILLIPS_largeMale_none_bess_LL.csv,68,PHILLIPS,p1,mc,fid23,none,pre,9.53100000000001,124.92099999999995,48.686000000000035,49.65299999999997,47.46300000000002,19.517000000000024
mc_pre_fid23_p1_RAVIPATI_largeMale_none_bess_LL.csv,61,RAVIPATI,p1,mc,fid23,none,pre,6.0479999999999805,127.775,46.29500000000007,52.578999999999965,50.18199999999993,15.566000000000031
mc_pre_fid23_p2_NGUYEN_largeMale_right_bess_LL.csv,68,NGUYEN,p2,mc,fid23,right,pre,7.653000000000034,27.713999999999984,16.13500000000002,20.24599999999998,198.17800000000003,26.864999999999984
mc_pre_fid23_p2_PATIL_largeMale_right_bess_LL.csv,60,PATIL,p2,mc,fid23,right,pre,9.319999999999979,23.302000000000007,18.756000000000025,20.674999999999955,202.21200000000007,25.711999999999964
mc_pre_fid23_p2_PHILLIPS_largeMale_right_bess_LL.csv,62,PHILLIPS,p2,mc,fid23,right,pre,14.292000000000073,27.72100000000001,14.098999999999966,17.492000000000033,203.06499999999997,23.22799999999997
mc_pre_fid23_p2_RAVIPATI_largeMale_right_bess_LL.csv,55,RAVIPATI,p2,mc,fid23,right,pre,8.66100000000002,23.88899999999998,18.98599999999999,20.992000000000026,203.16000000000005,24.296999999999912
mc_pre_fid23_p3_NGUYEN_largeMale_left_bess_LL.csv,73,NGUYEN,p3,mc,fid23,left,pre,7.020999999999991,91.423,44.623000000000076,44.698999999999955,78.97000000000004,32.75599999999994
mc_pre_fid23_p3_PATIL_largeMale_left_bess_LL.csv,67,PATIL,p3,mc,fid23,left,pre,3.6390000000000033,86.516,50.66299999999995,49.58800000000002,75.975,33.59600000000004
mc_pre_fid23_p3_PHILLIPS_largeMale_left_bess_LL.csv,84,PHILLIPS,p3,mc,fid23,left,pre,12.032000000000018,87.29799999999997,47.294000000000025,44.405999999999956,77.51500000000003,31.497
mc_pre_fid23_p3_RAVIPATI_largeMale_left_bess_LL.csv,64,RAVIPATI,p3,mc,fid23,left,pre,2.7060000000000173,87.71199999999999,50.45899999999997,49.432000000000045,79.334,30.063999999999943
mc_pre_fid24_p1_NGUYEN_largeMale_none_ariana_LS.csv,35,NGUYEN,p1,mc,fid24,none,pre,29.292999999999996,192.60599999999997,27.49900000000004,25.750999999999998,12.956000000000003,11.543999999999997
mc_pre_fid24_p1_PATIL_largeMale_none_ariana_LS.csv,48,PATIL,p1,mc,fid24,none,pre,30.607000000000042,189.03100000000006,31.429999999999943,25.624,13.119,10.881999999999962
mc_pre_fid24_p1_PHILLIPS_largeMale_none_ariana_LS.csv,49,PHILLIPS,p1,mc,fid24,none,pre,31.370000000000065,189.56199999999998,29.799999999999986,25.626,13.381999999999977,10.509999999999977
mc_pre_fid24_p1_RAVIPATI_largeMale_none_ariana_LS.csv,36,RAVIPATI,p1,mc,fid24,none,pre,30.08100000000001,192.43699999999998,27.300000000000008,26.06,13.433999999999997,10.944999999999993
