filename,number_transits,code,totalTime,experiment,fishID,fishName,treatment,half,scorer,largeMalePosition,prePost
mc_post_fid11_p1_Gadot_largeMale_none_bernice_LS.csv,61,center,12.542000000000035,mc,fid11,bernice,LS.csv,p1,Gadot,none,post
mc_post_fid11_p1_Gadot_largeMale_none_bernice_LS.csv,61,left screen,43.120000000000026,mc,fid11,bernice,LS.csv,p1,Gadot,none,post
mc_post_fid11_p1_Gadot_largeMale_none_bernice_LS.csv,61,left side,32.55799999999997,mc,fid11,bernice,LS.csv,p1,Gadot,none,post
mc_post_fid11_p1_Gadot_largeMale_none_bernice_LS.csv,61,plant,33.687999999999995,mc,fid11,bernice,LS.csv,p1,Gadot,none,post
mc_post_fid11_p1_Gadot_largeMale_none_bernice_LS.csv,61,right screen,146.035,mc,fid11,bernice,LS.csv,p1,Gadot,none,post
mc_post_fid11_p1_Gadot_largeMale_none_bernice_LS.csv,61,right side,32.03399999999998,mc,fid11,bernice,LS.csv,p1,Gadot,none,post
mc_post_fid11_p1_GAJWANI_largeMale_none_bernice_LS.csv,55,center,14.147999999999982,mc,fid11,bernice,LS.csv,p1,GAJWANI,none,post
mc_post_fid11_p1_GAJWANI_largeMale_none_bernice_LS.csv,55,left screen,42.71299999999997,mc,fid11,bernice,LS.csv,p1,GAJWANI,none,post
mc_post_fid11_p1_GAJWANI_largeMale_none_bernice_LS.csv,55,left side,32.89600000000004,mc,fid11,bernice,LS.csv,p1,GAJWANI,none,post
mc_post_fid11_p1_GAJWANI_largeMale_none_bernice_LS.csv,55,plant,28.28799999999999,mc,fid11,bernice,LS.csv,p1,GAJWANI,none,post
mc_post_fid11_p1_GAJWANI_largeMale_none_bernice_LS.csv,55,right screen,148.491,mc,fid11,bernice,LS.csv,p1,GAJWANI,none,post
mc_post_fid11_p1_GAJWANI_largeMale_none_bernice_LS.csv,55,right side,29.637999999999995,mc,fid11,bernice,LS.csv,p1,GAJWANI,none,post
mc_post_fid11_p2_EGBULONU_largeMale_right_bernice_LS.csv,12,center,3.4710000000000036,mc,fid11,bernice,LS.csv,p2,EGBULONU,right,post
mc_post_fid11_p2_EGBULONU_largeMale_right_bernice_LS.csv,12,left screen,1.8109999999999786,mc,fid11,bernice,LS.csv,p2,EGBULONU,right,post
mc_post_fid11_p2_EGBULONU_largeMale_right_bernice_LS.csv,12,left side,1.600999999999999,mc,fid11,bernice,LS.csv,p2,EGBULONU,right,post
mc_post_fid11_p2_EGBULONU_largeMale_right_bernice_LS.csv,12,right screen,276.207,mc,fid11,bernice,LS.csv,p2,EGBULONU,right,post
mc_post_fid11_p2_EGBULONU_largeMale_right_bernice_LS.csv,12,right side,21.489000000000033,mc,fid11,bernice,LS.csv,p2,EGBULONU,right,post
mc_post_fid11_p2_ESTRELLADO_largeMale_right_bernice_LS.csv,16,center,3.3420000000000414,mc,fid11,bernice,LS.csv,p2,ESTRELLADO,right,post
mc_post_fid11_p2_ESTRELLADO_largeMale_right_bernice_LS.csv,16,left screen,1.663000000000011,mc,fid11,bernice,LS.csv,p2,ESTRELLADO,right,post
mc_post_fid11_p2_ESTRELLADO_largeMale_right_bernice_LS.csv,16,left side,1.5229999999999677,mc,fid11,bernice,LS.csv,p2,ESTRELLADO,right,post
mc_post_fid11_p2_ESTRELLADO_largeMale_right_bernice_LS.csv,16,right screen,272.438,mc,fid11,bernice,LS.csv,p2,ESTRELLADO,right,post
mc_post_fid11_p2_ESTRELLADO_largeMale_right_bernice_LS.csv,16,right side,16.191999999999986,mc,fid11,bernice,LS.csv,p2,ESTRELLADO,right,post
mc_post_fid11_p2_FERNANDES_largeMale_right_bernice_LS.csv,18,center,3.4039999999999964,mc,fid11,bernice,LS.csv,p2,FERNANDES,right,post
mc_post_fid11_p2_FERNANDES_largeMale_right_bernice_LS.csv,18,left screen,2.002999999999986,mc,fid11,bernice,LS.csv,p2,FERNANDES,right,post
mc_post_fid11_p2_FERNANDES_largeMale_right_bernice_LS.csv,18,left side,1.6340000000000146,mc,fid11,bernice,LS.csv,p2,FERNANDES,right,post
